smiles,zinc_id,minimal_disttoref,consensus_sars,tox_counts,ct_tox
CCN(C(=O)Cn1nc(Br)c(=O)c2ccccc21)c1cccc2ccccc12,ZINC000755843587,0.646154,0.814290,4,0.073073
CSC(=S)N/N=C(/Cc1ccccc1)c1ccccn1,ZINC000006425099,0.653846,0.814268,6,0.050792
CSC(=S)N/N=C(\Cc1ccccc1)c1ccccn1,ZINC000008659473,0.653846,0.814268,6,0.050792
O=C(NC(=S)N(Cc1ccccc1)c1ccccc1)c1cc(-c2ccc(Cl)cc2)nc2ccccc12,ZINC000002789007,0.635135,0.814172,3,0.200311
S=C(NNc1cnnc2ccccc12)Nc1ccccc1,ZINC000733756093,0.620000,0.814160,5,0.051279
C/N=C(\S)N/N=C/c1cn(Cc2c(F)cccc2Cl)c2ccccc12,ZINC000008685053,0.681818,0.814118,23,0.078541
O=c1ccc(Br)cn1Cc1nc2ccccc2c2ccccc12,ZINC000007785760,0.701754,0.814117,3,0.162221
S=C(NCc1ccccc1)NN=Cc1cnc2ccc(Cl)cn12,ZINC000737417989,0.508772,0.813829,5,0.051216
CC(=NNC(=S)NCCc1ccccn1)c1nc2ccccc2n1C(F)F,ZINC000726419294,0.661765,0.813772,6,0.053411
C=CCNC(=S)NN=Cc1cc2c(C)nn(-c3ccccc3)c2nc1Cl,ZINC000814715517,0.631579,0.813731,9,0.060338
CNC(=S)NN=Cc1ccc(Cl)c2cccnc12,ZINC000760220091,0.649123,0.813687,3,0.057066
CSC(=S)N/N=C(\c1ccccc1)c1ccccn1,ZINC000000284216,0.660377,0.813626,6,0.050872
CSC(=S)N/N=C(/c1ccccc1)c1ccccn1,ZINC000006425101,0.660377,0.813626,6,0.050872
CCCNC(=S)NN=C(C)c1nc2ccccc2n1C(F)F,ZINC000812436094,0.622951,0.813608,2,0.054750
Cc1c(/C=N/NC(N)=S)c2ccccc2n1Cc1ccccc1Cl,ZINC000409383748,0.555556,0.813526,22,0.066613
Cn1c2ccccc2c2cc(/C=N/NC(=S)Nc3ccccc3)ccc21,ZINC000001085661,0.542373,0.813470,8,0.071905
Cc1c(/C=N/NC(N)=S)c2ccccc2n1Cc1ccc(Cl)c(Cl)c1,ZINC000007277528,0.553571,0.813445,25,0.112319
C=CCNC(=S)NN=C(C)c1nc2ccccc2n1C(F)F,ZINC000812384001,0.656250,0.813319,4,0.059649
S=C(NCCc1ccccn1)NN=C1CCOc2c(Cl)cc(Cl)cc21,ZINC000726423650,0.671875,0.813284,5,0.051551
CC(=NNC(=S)NCCc1ccc(Cl)cc1)c1cc2n(n1)CCC2,ZINC000841610802,0.671429,0.813119,6,0.050333
S=C(NCCc1ccccn1)NN=C[C@@H]1CC1(Cl)Cl,ZINC000853299687,0.625000,0.813070,4,0.050984
CCN1C(=S)/C(=N\NC(=S)c2ccc3ccccc3n2)c2ccccc21,ZINC000017108553,0.655738,0.812994,7,0.050630
CCN1C(=S)/C(=N/NC(=S)c2ccc3ccccc3n2)c2ccccc21,ZINC000104202585,0.655738,0.812994,7,0.050630
CNC(=S)NN=Cc1ccc2ccc(Br)cc2n1,ZINC000771553865,0.660714,0.812974,4,0.052620
NC(=S)N/N=C/c1cc(Cl)c2nc(-c3ccccc3)ccc2c1,ZINC000016975597,0.469388,0.812972,17,0.130356
NC(=S)N/N=C\c1cc(Cl)c2nc(-c3ccccc3)ccc2c1,ZINC000034856377,0.469388,0.812972,17,0.130356
N=C(S)NN/C(=C/c1nc(-c2ccccn2)cc2ccccc12)c1ccc(Cl)cc1,ZINC000103758567,0.730769,0.812892,18,0.162670
N=C(S)NN/C(=C\c1nc(-c2ccccn2)cc2ccccc12)c1ccc(Cl)cc1,ZINC000008748845,0.730769,0.812892,18,0.162670
S=C(Nc1ccc2cnccc2c1Cl)NC(c1ccccc1)c1ccccc1,ZINC001244811869,0.641791,0.812877,8,0.069041
S=C(NNc1cnnc2ccccc12)Nc1ccc(Cl)cc1,ZINC000733755874,0.625000,0.812761,5,0.054073
CCCCCNC(=S)NN=C(C)c1nc2ccccc2n1C(F)F,ZINC000812441765,0.625000,0.812680,6,0.054291
CC(=NNC(=S)NCCc1cccs1)c1nc2ccccc2n1C(F)F,ZINC000839413384,0.666667,0.812673,4,0.052837
CSCCNC(=S)NN=Cc1c(Br)c2ccccc2n1C,ZINC000853327504,0.629032,0.812652,5,0.062854
NC(=S)N/N=C/c1cn(Cc2ccc(Cl)c(Cl)c2)c2ccccc12,ZINC000408974620,0.578125,0.812629,17,0.203192
C[C@H]1CC(=NNC(=S)Nc2ccccn2)c2cccc(Br)c21,ZINC000767804754,0.589286,0.812553,4,0.050732
CC(=NNC(=S)NCc1ccccc1)c1nc2cc(Cl)ccc2n1C,ZINC000749156829,0.640625,0.812343,4,0.081941
S=C(NNc1cnnc2ccccc12)Nc1ccc2ccccc2c1,ZINC000733755928,0.686567,0.812338,6,0.052480
S=C(NCCc1ccccn1)NN=C1CCOc2c(Cl)ccc(Cl)c21,ZINC000726423861,0.661290,0.812334,6,0.051813
S=C(NNc1cnnc2ccccc12)Nc1cccc(Cl)c1,ZINC000733755707,0.630769,0.812168,5,0.054684
